state,district,category,type,date,crimes
Malaysia,All,property,theft_other,2022,15434
Malaysia,All,property,theft_vehicle_lorry,2016,3050
Malaysia,All,property,theft_vehicle_lorry,2017,2102
Malaysia,All,property,theft_vehicle_lorry,2018,1761
Malaysia,All,property,theft_vehicle_lorry,2019,1549
Malaysia,All,property,theft_vehicle_lorry,2020,921
Malaysia,All,property,theft_vehicle_lorry,2021,639
Malaysia,All,property,theft_vehicle_lorry,2022,718
Malaysia,All,property,theft_vehicle_motorcar,2016,10607
Malaysia,All,property,theft_vehicle_motorcar,2017,8480
Malaysia,All,property,theft_vehicle_motorcar,2018,7413
Malaysia,All,property,theft_vehicle_motorcar,2019,6817
Malaysia,All,property,theft_vehicle_motorcar,2020,4599
Malaysia,All,property,theft_vehicle_motorcar,2021,2849
Malaysia,All,property,theft_vehicle_motorcar,2022,3271
Malaysia,All,property,theft_vehicle_motorcycle,2016,34754
Malaysia,All,property,theft_vehicle_motorcycle,2017,31577
Malaysia,All,property,theft_vehicle_motorcycle,2018,26779
Malaysia,All,property,theft_vehicle_motorcycle,2019,22501
Malaysia,All,property,theft_vehicle_motorcycle,2020,16059
Malaysia,All,property,theft_vehicle_motorcycle,2021,9944
Malaysia,All,property,theft_vehicle_motorcycle,2022,10457
Johor,All,assault,all,2016,2820
Johor,All,assault,all,2017,2578
Johor,All,assault,all,2018,1880
Johor,All,assault,all,2019,1923
Johor,All,assault,all,2020,1384
Johor,All,assault,all,2021,925
Johor,All,assault,all,2022,973
Johor,All,assault,causing_injury,2016,708
Johor,All,assault,causing_injury,2017,614
Johor,All,assault,causing_injury,2018,578
Johor,All,assault,causing_injury,2019,599
Johor,All,assault,causing_injury,2020,447
Johor,All,assault,causing_injury,2021,365
Johor,All,assault,causing_injury,2022,333
Johor,All,assault,murder,2016,70
Johor,All,assault,murder,2017,66
Johor,All,assault,murder,2018,43
Johor,All,assault,murder,2019,35
Johor,All,assault,murder,2020,36
Johor,All,assault,murder,2021,21
Johor,All,assault,murder,2022,30
Johor,All,assault,rape,2016,274
Johor,All,assault,rape,2017,196
Johor,All,assault,rape,2018,187
Johor,All,assault,rape,2019,206
Johor,All,assault,rape,2020,164
Johor,All,assault,rape,2021,144
Johor,All,assault,rape,2022,147
Johor,All,assault,robbery_gang_armed,2016,10
Johor,All,assault,robbery_gang_armed,2017,1
Johor,All,assault,robbery_gang_armed,2018,2
Johor,All,assault,robbery_gang_armed,2019,1
Johor,All,assault,robbery_gang_armed,2020,1
Johor,All,assault,robbery_gang_armed,2021,1
Johor,All,assault,robbery_gang_armed,2022,0
Johor,All,assault,robbery_gang_unarmed,2016,1308
Johor,All,assault,robbery_gang_unarmed,2017,1220
Johor,All,assault,robbery_gang_unarmed,2018,740
Johor,All,assault,robbery_gang_unarmed,2019,753
Johor,All,assault,robbery_gang_unarmed,2020,257
Johor,All,assault,robbery_gang_unarmed,2021,256
Johor,All,assault,robbery_gang_unarmed,2022,270
Johor,All,assault,robbery_solo_armed,2016,3
Johor,All,assault,robbery_solo_armed,2017,0
Johor,All,assault,robbery_solo_armed,2018,0
Johor,All,assault,robbery_solo_armed,2019,1
Johor,All,assault,robbery_solo_armed,2020,0
Johor,All,assault,robbery_solo_armed,2021,0
Johor,All,assault,robbery_solo_armed,2022,0
Johor,All,assault,robbery_solo_unarmed,2016,447
Johor,All,assault,robbery_solo_unarmed,2017,481
Johor,All,assault,robbery_solo_unarmed,2018,330
Johor,All,assault,robbery_solo_unarmed,2019,328
Johor,All,assault,robbery_solo_unarmed,2020,479
Johor,All,assault,robbery_solo_unarmed,2021,138
Johor,All,assault,robbery_solo_unarmed,2022,193
Johor,All,property,all,2016,10121
Johor,All,property,all,2017,8729
Johor,All,property,all,2018,8458
Johor,All,property,all,2019,7947
Johor,All,property,all,2020,5966
Johor,All,property,all,2021,3440
Johor,All,property,all,2022,3489
Johor,All,property,break_in,2016,1475
Johor,All,property,break_in,2017,1211
Johor,All,property,break_in,2018,1239
Johor,All,property,break_in,2019,1364
Johor,All,property,break_in,2020,1273
Johor,All,property,break_in,2021,883
Johor,All,property,break_in,2022,767
Johor,All,property,theft_other,2016,2117
Johor,All,property,theft_other,2017,2043
Johor,All,property,theft_other,2018,2025
Johor,All,property,theft_other,2019,1912
Johor,All,property,theft_other,2020,1403
Johor,All,property,theft_other,2021,942
Johor,All,property,theft_other,2022,1041
Johor,All,property,theft_vehicle_lorry,2016,400
Johor,All,property,theft_vehicle_lorry,2017,274
Johor,All,property,theft_vehicle_lorry,2018,278
Johor,All,property,theft_vehicle_lorry,2019,219
Johor,All,property,theft_vehicle_lorry,2020,141
Johor,All,property,theft_vehicle_lorry,2021,71
Johor,All,property,theft_vehicle_lorry,2022,73
Johor,All,property,theft_vehicle_motorcar,2016,1443
Johor,All,property,theft_vehicle_motorcar,2017,1097
Johor,All,property,theft_vehicle_motorcar,2018,1035
Johor,All,property,theft_vehicle_motorcar,2019,981
Johor,All,property,theft_vehicle_motorcar,2020,802
Johor,All,property,theft_vehicle_motorcar,2021,400
Johor,All,property,theft_vehicle_motorcar,2022,429
Johor,All,property,theft_vehicle_motorcycle,2016,4686
Johor,All,property,theft_vehicle_motorcycle,2017,4104
Johor,All,property,theft_vehicle_motorcycle,2018,3881
Johor,All,property,theft_vehicle_motorcycle,2019,3471
Johor,All,property,theft_vehicle_motorcycle,2020,2347
Johor,All,property,theft_vehicle_motorcycle,2021,1144
Johor,All,property,theft_vehicle_motorcycle,2022,1179
Johor,Batu Pahat,assault,all,2016,160
Johor,Batu Pahat,assault,all,2017,123
Johor,Batu Pahat,assault,all,2018,104
Johor,Batu Pahat,assault,all,2019,139
Johor,Batu Pahat,assault,all,2020,127
Johor,Batu Pahat,assault,all,2021,60
Johor,Batu Pahat,assault,all,2022,52
Johor,Batu Pahat,assault,causing_injury,2016,39
Johor,Batu Pahat,assault,causing_injury,2017,41
Johor,Batu Pahat,assault,causing_injury,2018,28
Johor,Batu Pahat,assault,causing_injury,2019,41
Johor,Batu Pahat,assault,causing_injury,2020,43
Johor,Batu Pahat,assault,causing_injury,2021,22
Johor,Batu Pahat,assault,causing_injury,2022,19
Johor,Batu Pahat,assault,murder,2016,6
Johor,Batu Pahat,assault,murder,2017,0
Johor,Batu Pahat,assault,murder,2018,3
Johor,Batu Pahat,assault,murder,2019,3
Johor,Batu Pahat,assault,murder,2020,3
Johor,Batu Pahat,assault,murder,2021,0
Johor,Batu Pahat,assault,murder,2022,3
Johor,Batu Pahat,assault,rape,2016,29
Johor,Batu Pahat,assault,rape,2017,23
Johor,Batu Pahat,assault,rape,2018,13
Johor,Batu Pahat,assault,rape,2019,29
Johor,Batu Pahat,assault,rape,2020,16
Johor,Batu Pahat,assault,rape,2021,18
Johor,Batu Pahat,assault,rape,2022,13
Johor,Batu Pahat,assault,robbery_gang_armed,2016,1
Johor,Batu Pahat,assault,robbery_gang_armed,2017,0
Johor,Batu Pahat,assault,robbery_gang_armed,2018,0
Johor,Batu Pahat,assault,robbery_gang_armed,2019,0
Johor,Batu Pahat,assault,robbery_gang_armed,2020,0
Johor,Batu Pahat,assault,robbery_gang_armed,2021,0
Johor,Batu Pahat,assault,robbery_gang_armed,2022,0
Johor,Batu Pahat,assault,robbery_gang_unarmed,2016,56
Johor,Batu Pahat,assault,robbery_gang_unarmed,2017,47
Johor,Batu Pahat,assault,robbery_gang_unarmed,2018,33
Johor,Batu Pahat,assault,robbery_gang_unarmed,2019,37
Johor,Batu Pahat,assault,robbery_gang_unarmed,2020,32
Johor,Batu Pahat,assault,robbery_gang_unarmed,2021,9
Johor,Batu Pahat,assault,robbery_gang_unarmed,2022,5
Johor,Batu Pahat,assault,robbery_solo_armed,2016,1
Johor,Batu Pahat,assault,robbery_solo_armed,2017,0
Johor,Batu Pahat,assault,robbery_solo_armed,2018,0
Johor,Batu Pahat,assault,robbery_solo_armed,2019,0
Johor,Batu Pahat,assault,robbery_solo_armed,2020,0
Johor,Batu Pahat,assault,robbery_solo_armed,2021,0
Johor,Batu Pahat,assault,robbery_solo_armed,2022,0
Johor,Batu Pahat,assault,robbery_solo_unarmed,2016,28
Johor,Batu Pahat,assault,robbery_solo_unarmed,2017,12
Johor,Batu Pahat,assault,robbery_solo_unarmed,2018,27
Johor,Batu Pahat,assault,robbery_solo_unarmed,2019,29
Johor,Batu Pahat,assault,robbery_solo_unarmed,2020,33
Johor,Batu Pahat,assault,robbery_solo_unarmed,2021,11
Johor,Batu Pahat,assault,robbery_solo_unarmed,2022,12
Johor,Batu Pahat,property,all,2016,621
Johor,Batu Pahat,property,all,2017,558
Johor,Batu Pahat,property,all,2018,584
Johor,Batu Pahat,property,all,2019,524
Johor,Batu Pahat,property,all,2020,415
Johor,Batu Pahat,property,all,2021,200
Johor,Batu Pahat,property,all,2022,262
Johor,Batu Pahat,property,break_in,2016,115
Johor,Batu Pahat,property,break_in,2017,90
Johor,Batu Pahat,property,break_in,2018,158
Johor,Batu Pahat,property,break_in,2019,157
Johor,Batu Pahat,property,break_in,2020,122
Johor,Batu Pahat,property,break_in,2021,55
Johor,Batu Pahat,property,break_in,2022,80
Johor,Batu Pahat,property,theft_other,2016,192
Johor,Batu Pahat,property,theft_other,2017,119
Johor,Batu Pahat,property,theft_other,2018,140
Johor,Batu Pahat,property,theft_other,2019,127
Johor,Batu Pahat,property,theft_other,2020,122
Johor,Batu Pahat,property,theft_other,2021,72
Johor,Batu Pahat,property,theft_other,2022,83
Johor,Batu Pahat,property,theft_vehicle_lorry,2016,16
Johor,Batu Pahat,property,theft_vehicle_lorry,2017,10
Johor,Batu Pahat,property,theft_vehicle_lorry,2018,15
Johor,Batu Pahat,property,theft_vehicle_lorry,2019,4
Johor,Batu Pahat,property,theft_vehicle_lorry,2020,12
Johor,Batu Pahat,property,theft_vehicle_lorry,2021,2
Johor,Batu Pahat,property,theft_vehicle_lorry,2022,7
Johor,Batu Pahat,property,theft_vehicle_motorcar,2016,41
Johor,Batu Pahat,property,theft_vehicle_motorcar,2017,52
Johor,Batu Pahat,property,theft_vehicle_motorcar,2018,46
Johor,Batu Pahat,property,theft_vehicle_motorcar,2019,28
Johor,Batu Pahat,property,theft_vehicle_motorcar,2020,38
Johor,Batu Pahat,property,theft_vehicle_motorcar,2021,12
Johor,Batu Pahat,property,theft_vehicle_motorcar,2022,16
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2016,257
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2017,287
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2018,225
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2019,208
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2020,121
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2021,59
Johor,Batu Pahat,property,theft_vehicle_motorcycle,2022,76
Johor,Iskandar Puteri,assault,all,2016,0
Johor,Iskandar Puteri,assault,all,2017,195
Johor,Iskandar Puteri,assault,all,2018,149
Johor,Iskandar Puteri,assault,all,2019,170
Johor,Iskandar Puteri,assault,all,2020,96
Johor,Iskandar Puteri,assault,all,2021,68
Johor,Iskandar Puteri,assault,all,2022,80
Johor,Iskandar Puteri,assault,causing_injury,2016,0
Johor,Iskandar Puteri,assault,causing_injury,2017,54
Johor,Iskandar Puteri,assault,causing_injury,2018,61
Johor,Iskandar Puteri,assault,causing_injury,2019,46
Johor,Iskandar Puteri,assault,causing_injury,2020,23
Johor,Iskandar Puteri,assault,causing_injury,2021,20
Johor,Iskandar Puteri,assault,causing_injury,2022,30
Johor,Iskandar Puteri,assault,murder,2016,0
Johor,Iskandar Puteri,assault,murder,2017,4
Johor,Iskandar Puteri,assault,murder,2018,4
Johor,Iskandar Puteri,assault,murder,2019,4
Johor,Iskandar Puteri,assault,murder,2020,3
Johor,Iskandar Puteri,assault,murder,2021,2
Johor,Iskandar Puteri,assault,murder,2022,3
Johor,Iskandar Puteri,assault,rape,2016,0
Johor,Iskandar Puteri,assault,rape,2017,9
Johor,Iskandar Puteri,assault,rape,2018,13
Johor,Iskandar Puteri,assault,rape,2019,16
Johor,Iskandar Puteri,assault,rape,2020,9
Johor,Iskandar Puteri,assault,rape,2021,4
Johor,Iskandar Puteri,assault,rape,2022,9
Johor,Iskandar Puteri,assault,robbery_gang_armed,2016,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2017,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2018,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2019,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2020,0
Johor,Iskandar Puteri,assault,robbery_gang_armed,2021,1
Johor,Iskandar Puteri,assault,robbery_gang_armed,2022,0
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2016,0
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2017,102
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2018,53
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2019,74
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2020,17
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2021,31
Johor,Iskandar Puteri,assault,robbery_gang_unarmed,2022,21
Johor,Iskandar Puteri,assault,robbery_solo_armed,2016,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2017,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2018,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2019,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2020,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2021,0
Johor,Iskandar Puteri,assault,robbery_solo_armed,2022,0
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2016,0
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2017,26
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2018,18
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2019,30
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2020,44
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2021,10
Johor,Iskandar Puteri,assault,robbery_solo_unarmed,2022,17
Johor,Iskandar Puteri,property,all,2016,0
Johor,Iskandar Puteri,property,all,2017,727
Johor,Iskandar Puteri,property,all,2018,784
Johor,Iskandar Puteri,property,all,2019,784
Johor,Iskandar Puteri,property,all,2020,538
Johor,Iskandar Puteri,property,all,2021,332
Johor,Iskandar Puteri,property,all,2022,356
Johor,Iskandar Puteri,property,break_in,2016,0
Johor,Iskandar Puteri,property,break_in,2017,92
Johor,Iskandar Puteri,property,break_in,2018,47
Johor,Iskandar Puteri,property,break_in,2019,76
Johor,Iskandar Puteri,property,break_in,2020,77
Johor,Iskandar Puteri,property,break_in,2021,68
Johor,Iskandar Puteri,property,break_in,2022,77
Johor,Iskandar Puteri,property,theft_other,2016,0
Johor,Iskandar Puteri,property,theft_other,2017,151
Johor,Iskandar Puteri,property,theft_other,2018,176
Johor,Iskandar Puteri,property,theft_other,2019,228
Johor,Iskandar Puteri,property,theft_other,2020,156
Johor,Iskandar Puteri,property,theft_other,2021,114
Johor,Iskandar Puteri,property,theft_other,2022,125
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2016,0
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2017,17
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2018,20
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2019,36
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2020,11
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2021,6
Johor,Iskandar Puteri,property,theft_vehicle_lorry,2022,5
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2016,0
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2017,130
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2018,138
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2019,131
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2020,122
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2021,56
Johor,Iskandar Puteri,property,theft_vehicle_motorcar,2022,54
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2016,0
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2017,337
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2018,403
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2019,313
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2020,172
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2021,88
Johor,Iskandar Puteri,property,theft_vehicle_motorcycle,2022,95
Johor,Johor Bahru Selatan,assault,all,2016,977
Johor,Johor Bahru Selatan,assault,all,2017,956
Johor,Johor Bahru Selatan,assault,all,2018,474
Johor,Johor Bahru Selatan,assault,all,2019,429
Johor,Johor Bahru Selatan,assault,all,2020,226
Johor,Johor Bahru Selatan,assault,all,2021,150
Johor,Johor Bahru Selatan,assault,all,2022,213
Johor,Johor Bahru Selatan,assault,causing_injury,2016,200
Johor,Johor Bahru Selatan,assault,causing_injury,2017,170
Johor,Johor Bahru Selatan,assault,causing_injury,2018,115
Johor,Johor Bahru Selatan,assault,causing_injury,2019,126
Johor,Johor Bahru Selatan,assault,causing_injury,2020,67
Johor,Johor Bahru Selatan,assault,causing_injury,2021,62
Johor,Johor Bahru Selatan,assault,causing_injury,2022,45
Johor,Johor Bahru Selatan,assault,murder,2016,15
Johor,Johor Bahru Selatan,assault,murder,2017,23
Johor,Johor Bahru Selatan,assault,murder,2018,9
Johor,Johor Bahru Selatan,assault,murder,2019,10
Johor,Johor Bahru Selatan,assault,murder,2020,4
Johor,Johor Bahru Selatan,assault,murder,2021,5
Johor,Johor Bahru Selatan,assault,murder,2022,7
Johor,Johor Bahru Selatan,assault,rape,2016,42
Johor,Johor Bahru Selatan,assault,rape,2017,28
Johor,Johor Bahru Selatan,assault,rape,2018,24
Johor,Johor Bahru Selatan,assault,rape,2019,27
Johor,Johor Bahru Selatan,assault,rape,2020,17
Johor,Johor Bahru Selatan,assault,rape,2021,17
Johor,Johor Bahru Selatan,assault,rape,2022,26
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2016,5
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2017,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2018,1
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2019,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2020,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2021,0
Johor,Johor Bahru Selatan,assault,robbery_gang_armed,2022,0
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2016,506
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2017,528
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2018,217
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2019,192
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2020,44
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2021,39
Johor,Johor Bahru Selatan,assault,robbery_gang_unarmed,2022,68
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2016,2
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2017,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2018,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2019,1
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2020,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2021,0
Johor,Johor Bahru Selatan,assault,robbery_solo_armed,2022,0
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2016,207
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2017,207
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2018,108
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2019,73
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2020,94
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2021,27
Johor,Johor Bahru Selatan,assault,robbery_solo_unarmed,2022,67
Johor,Johor Bahru Selatan,property,all,2016,2802
Johor,Johor Bahru Selatan,property,all,2017,2275
Johor,Johor Bahru Selatan,property,all,2018,2042
Johor,Johor Bahru Selatan,property,all,2019,1766
Johor,Johor Bahru Selatan,property,all,2020,1265
Johor,Johor Bahru Selatan,property,all,2021,609
Johor,Johor Bahru Selatan,property,all,2022,733
Johor,Johor Bahru Selatan,property,break_in,2016,432
Johor,Johor Bahru Selatan,property,break_in,2017,263
Johor,Johor Bahru Selatan,property,break_in,2018,220
Johor,Johor Bahru Selatan,property,break_in,2019,283
Johor,Johor Bahru Selatan,property,break_in,2020,287
Johor,Johor Bahru Selatan,property,break_in,2021,191
Johor,Johor Bahru Selatan,property,break_in,2022,154
Johor,Johor Bahru Selatan,property,theft_other,2016,658
Johor,Johor Bahru Selatan,property,theft_other,2017,658
Johor,Johor Bahru Selatan,property,theft_other,2018,539
Johor,Johor Bahru Selatan,property,theft_other,2019,430
Johor,Johor Bahru Selatan,property,theft_other,2020,315
Johor,Johor Bahru Selatan,property,theft_other,2021,142
Johor,Johor Bahru Selatan,property,theft_other,2022,253
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2016,87
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2017,65
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2018,55
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2019,37
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2020,16
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2021,10
Johor,Johor Bahru Selatan,property,theft_vehicle_lorry,2022,5
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2016,514
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2017,344
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2018,317
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2019,283
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2020,205
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2021,89
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcar,2022,93
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2016,1111
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2017,945
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2018,911
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2019,733
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2020,442
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2021,177
Johor,Johor Bahru Selatan,property,theft_vehicle_motorcycle,2022,228
Johor,Johor Bahru Utara,assault,all,2016,528
Johor,Johor Bahru Utara,assault,all,2017,412
Johor,Johor Bahru Utara,assault,all,2018,343
Johor,Johor Bahru Utara,assault,all,2019,397
Johor,Johor Bahru Utara,assault,all,2020,246
Johor,Johor Bahru Utara,assault,all,2021,162
Johor,Johor Bahru Utara,assault,all,2022,148
Johor,Johor Bahru Utara,assault,causing_injury,2016,129
Johor,Johor Bahru Utara,assault,causing_injury,2017,96
Johor,Johor Bahru Utara,assault,causing_injury,2018,102
Johor,Johor Bahru Utara,assault,causing_injury,2019,140
Johor,Johor Bahru Utara,assault,causing_injury,2020,83
Johor,Johor Bahru Utara,assault,causing_injury,2021,57
Johor,Johor Bahru Utara,assault,causing_injury,2022,53
Johor,Johor Bahru Utara,assault,murder,2016,7
Johor,Johor Bahru Utara,assault,murder,2017,8
Johor,Johor Bahru Utara,assault,murder,2018,5
Johor,Johor Bahru Utara,assault,murder,2019,1
Johor,Johor Bahru Utara,assault,murder,2020,3
Johor,Johor Bahru Utara,assault,murder,2021,0
Johor,Johor Bahru Utara,assault,murder,2022,4
Johor,Johor Bahru Utara,assault,rape,2016,23
Johor,Johor Bahru Utara,assault,rape,2017,16
Johor,Johor Bahru Utara,assault,rape,2018,19
Johor,Johor Bahru Utara,assault,rape,2019,23
Johor,Johor Bahru Utara,assault,rape,2020,17
Johor,Johor Bahru Utara,assault,rape,2021,19
Johor,Johor Bahru Utara,assault,rape,2022,10
Johor,Johor Bahru Utara,assault,robbery_gang_armed,2016,0
Johor,Johor Bahru Utara,assault,robbery_gang_armed,2017,1
Johor,Johor Bahru Utara,assault,robbery_gang_armed,2018,1
Johor,Johor Bahru Utara,assault,robbery_gang_armed,2019,0
